name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_name,player_id,gameweek,price,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,points_per_90,goal_involvement,form_3gw,form_5gw,position_code,exp031_prediction,exp030_prediction
Trent Alexander-Arnold,DEF,Liverpool,5.5,0,0,17,1,40.1,259,374,0,0,5.0,4.4,2021-05-23T15:00:00Z,90,6,0,0,0,0,38,0,2246010,0,2,5.0,5,156801,170762,13961,78,True,1,38,Trent Alexander-Arnold,259,38,78,0,,,,,,5.0,0,2.333333333333333,2.6,2,73159.8071468492,5.5
Tyrick Mitchell,DEF,Crystal Palace,0.5,0,0,14,0,0.6,146,374,2,0,2.2,21.6,2021-05-23T15:00:00Z,90,11,0,0,0,0,38,0,1062301,0,2,0.0,1,23125,44037,20912,38,False,0,38,Tyrick Mitchell,146,38,38,0,,,,,,1.0,0,1.3333333333333333,1.4,2,34593.37371039172,0.5
Đorđe Petrović,GK,Chelsea,3.8,0,0,18,0,0.0,687,375,1,0,3.8,38.4,2024-05-19T15:00:00Z,90,3,0,0,0,0,38,5,911462,1,2,0.0,3,22145,46910,24765,47,True,0,38,Đorđe Petrović,687,38,47,0,0.0,0.0,0.0,2.15,1.0,3.0,0,2.0,4.2,1,29683.58239708351,3.8
Wilfried Zaha,MID,Crystal Palace,1.5,0,0,4,0,0.3,141,374,2,0,2.9,5.2,2021-05-23T15:00:00Z,90,11,0,0,0,0,38,0,814281,0,2,23.0,2,-56189,8121,64310,71,False,0,38,Wilfried Zaha,141,38,71,0,,,,,,2.0,0,2.0,2.0,3,26507.07396618521,1.5
Vladimir Coufal,DEF,West Ham,10.5,1,1,31,1,15.4,558,377,0,0,4.2,25.0,2021-05-23T15:00:00Z,90,16,0,0,0,0,38,0,709264,0,3,2.0,10,13908,33904,19996,48,True,0,38,Vladimir Coufal,558,38,48,0,,,,,,10.0,1,3.333333333333333,2.4,2,23100.51451992657,10.5
Tyrone Mings,DEF,Aston Villa,1.5,0,0,17,0,0.0,41,370,1,0,2.6,26.4,2021-05-23T15:00:00Z,90,5,0,0,0,0,38,0,642411,1,2,0.0,2,-16954,3043,19997,54,True,0,38,Tyrone Mings,41,38,54,0,,,,,,2.0,0,1.0,1.2,2,20916.42403060801,1.5
Virgil van Dijk,DEF,Liverpool,0.0,0,0,0,0,0.0,250,374,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,6,0,0,0,0,38,0,507149,0,2,0.0,0,-130,375,505,62,True,0,38,Virgil van Dijk,250,38,62,0,,,,,,0.0,0,1.0,0.6,2,16516.241622980688,0.0
Wout Weghorst,FWD,Burnley,1.3,0,0,-1,0,0.0,700,374,1,0,0.0,0.0,2022-05-22T15:00:00Z,45,14,0,0,0,0,38,0,349634,2,1,0.0,1,-48159,12721,60880,62,True,0,38,Wout Weghorst,700,38,62,0,,,,,,2.0,0,0.3333333333333333,0.6,4,11378.52811320686,1.3
Youri Tielemans,MID,Leicester,2.0,0,0,18,0,55.9,228,373,4,0,7.9,23.4,2021-05-23T15:00:00Z,90,17,0,0,0,0,38,0,310873,4,2,0.0,2,17290,28326,11036,64,True,0,38,Youri Tielemans,228,38,64,0,,,,,,2.0,0,4.333333333333333,3.4,3,10132.617423241963,2.0
Vicente Guaita,GK,Crystal Palace,1.5,0,0,17,0,0.0,128,374,2,0,2.7,27.2,2021-05-23T15:00:00Z,90,11,0,0,0,0,38,3,296200,0,2,0.0,2,-13635,1000,14635,48,False,0,38,Vicente Guaita,128,38,48,0,,,,,,2.0,0,0.6666666666666666,0.4,1,9644.496143066557,1.5
Ørjan Nyland,GK,Aston Villa,0.0,0,0,0,0,0.0,35,370,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,5,0,0,0,0,38,0,270474,1,2,0.0,0,-2796,0,2796,40,True,0,38,Ørjan Nyland,35,38,40,0,,,,,,0.0,0,0.0,0.0,1,8807.696351624252,0.0
Çaglar Söyüncü,DEF,Leicester,0.0,0,0,16,0,0.7,238,373,4,0,4.3,24.8,2021-05-23T15:00:00Z,90,17,0,0,0,0,38,0,251577,4,2,17.0,0,3054,6340,3286,53,True,0,38,Çaglar Söyüncü,238,38,53,0,,,,,,0.0,0,0.0,0.2,2,8194.416992126971,0.0
Trevoh Chalobah,DEF,Chelsea,3.3,0,0,0,0,0.0,527,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,18,0,0,0,0,38,0,227095,1,2,0.0,0,9535,14288,4753,47,True,0,38,Trevoh Chalobah,527,38,47,0,,,,,,0.0,0,1.0,1.0,2,7399.116534794061,3.3
Willian Borges Da Silva,MID,Arsenal,0.5,0,0,0,0,0.0,478,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,219575,0,2,0.0,0,-171,697,868,75,True,0,38,Willian Borges Da Silva,478,38,75,0,,,,,,0.0,0,0.0,0.0,3,7153.4043368982975,0.5
Tyrell Malacia,DEF,Man Utd,1.1,0,0,21,0,0.0,504,379,1,0,0.0,0.0,2023-05-28T15:30:00Z,90,9,0,0,0,0,38,0,214411,1,2,0.0,2,5421,8353,2932,42,True,0,38,Tyrell Malacia,504,38,42,0,0.14,0.14,0.0,1.8,1.0,2.0,0,0.6666666666666666,0.4,2,6984.736268550382,1.1
