id,player_id,gameweek,season,feature_version,now_cost,element_type,team,total_points_rolling_1,total_points_rolling_3,total_points_rolling_6,minutes_rolling_1,minutes_rolling_3,minutes_rolling_6,goals_scored_rolling_1,goals_scored_rolling_3,assists_rolling_1,assists_rolling_3,clean_sheets_rolling_1,clean_sheets_rolling_3,avg_fdr_next_3,avg_fdr_next_6,dgw_next_3,dgw_next_6,bgw_next_3,team_points_rolling_3,team_goals_rolling_3,team_conceded_rolling_3,is_injured,is_suspended,injury_risk_score,form_trend,points_per_minute,value_ratio,ownership_factor,home_advantage,opp_strength,actual_points,created_at,updated_at,goals_scored_rolling_6,assists_rolling_6,clean_sheets_rolling_6
869,818,1,2024-25,1,39,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.31,0,0,0,7,5,1,False,False,0.0,1.35,0.0,0.0,0.0,True,3.0,1.0552531780042638,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
871,865,1,2024-25,1,45,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,3.45,0,0,0,8,1,5,False,False,0.0,-0.84,0.0,0.0,0.0,True,3.0,0.629074384238699,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
872,866,1,2024-25,1,40,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,4.39,0,0,0,1,6,7,False,False,0.0,-0.52,0.0,0.0,0.0,True,3.0,1.1247802222652712,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
874,849,1,2024-25,1,45,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,4.61,0,0,0,5,6,6,False,False,0.0,-0.86,0.0,0.0,0.0,True,3.0,1.2290622579144181,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
875,855,1,2024-25,1,40,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,4.55,0,0,0,7,4,1,False,False,0.0,0.31,0.0,0.0,0.0,True,3.0,1.2074380936455766,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
876,834,1,2024-25,1,40,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,3.87,0,0,0,7,1,6,False,False,0.0,-0.56,0.0,0.0,0.0,True,3.0,1.3773277859563215,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
877,864,1,2024-25,1,45,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,3.5,0,0,0,6,2,4,False,False,0.0,-1.2,0.0,0.0,0.0,True,3.0,0.9776603419742468,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
879,843,1,2024-25,1,45,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,4.53,0,0,0,4,3,1,False,False,0.0,1.25,0.0,0.0,0.0,True,3.0,0.9275797323201903,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
881,861,1,2024-25,1,40,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,3.49,0,0,0,6,2,5,False,False,0.0,0.57,0.0,0.0,0.0,True,3.0,1.0297350090090487,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
884,819,1,2024-25,1,40,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,3.93,0,0,0,4,2,3,False,False,0.0,-0.48,0.0,0.0,0.0,True,3.0,0.9124433694970735,2026-03-05 18:58:56.437777,2026-03-05 19:01:40.494792,0.0,0.0,0.0
